"Test Case ID","Module / Feature","Test Scenario Description","Selenium Automation Steps","Locator Strategy","Input Data / Parameters","Expected Result","Priority","Execution Status"
"TC_SLOT_004","Real-Time Slot Locking and Booking","Verify date picker allows selecting future dates","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify date picker allows selecting future dates","css=[data-test='tc_slot_4']","Test Param: Verify date picker allows selecting future dates","Web app UI and state update properly for: Verify date picker allows selecting future dates","High","Ready for Automation"
"TC_SLOT_005","Real-Time Slot Locking and Booking","Verify available time slots rendered in modal grid","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify available time slots rendered in modal grid","css=[data-test='tc_slot_5']","Test Param: Verify available time slots rendered in modal grid","Web app UI and state update properly for: Verify available time slots rendered in modal grid","Medium","Ready for Automation"
"TC_SLOT_006","Real-Time Slot Locking and Booking","Verify peak hour slots identified with Peak icon tag","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify peak hour slots identified with Peak icon tag","css=[data-test='tc_slot_6']","Test Param: Verify peak hour slots identified with Peak icon tag","Web app UI and state update properly for: Verify peak hour slots identified with Peak icon tag","Low","Ready for Automation"
"TC_SLOT_007","Real-Time Slot Locking and Booking","Verify non-peak hour slots rendered without peak tag","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify non-peak hour slots rendered without peak tag","css=[data-test='tc_slot_7']","Test Param: Verify non-peak hour slots rendered without peak tag","Web app UI and state update properly for: Verify non-peak hour slots rendered without peak tag","High","Ready for Automation"
"TC_SLOT_008","Real-Time Slot Locking and Booking","Verify selecting a non-peak slot calculates base rate correctly","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify selecting a non-peak slot calculates base rate correctly","css=[data-test='tc_slot_8']","Test Param: Verify selecting a non-peak slot calculates base rate correctly","Web app UI and state update properly for: Verify selecting a non-peak slot calculates base rate correctly","Medium","Ready for Automation"
"TC_SLOT_009","Real-Time Slot Locking and Booking","Verify selecting a peak slot calculates 20 percent surge dynamic pricing","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify selecting a peak slot calculates 20 percent surge dynamic pricing","css=[data-test='tc_slot_9']","Test Param: Verify selecting a peak slot calculates 20 percent surge dynamic pricing","Web app UI and state update properly for: Verify selecting a peak slot calculates 20 percent surge dynamic pricing","Low","Ready for Automation"
"TC_SLOT_010","Real-Time Slot Locking and Booking","Verify dynamic pricing adjustment row displays correct amount","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify dynamic pricing adjustment row displays correct amount","css=[data-test='tc_slot_10']","Test Param: Verify dynamic pricing adjustment row displays correct amount","Web app UI and state update properly for: Verify dynamic pricing adjustment row displays correct amount","High","Ready for Automation"
"TC_SLOT_011","Real-Time Slot Locking and Booking","Verify final payable amount updates dynamically upon slot selection","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify final payable amount updates dynamically upon slot selection","css=[data-test='tc_slot_11']","Test Param: Verify final payable amount updates dynamically upon slot selection","Web app UI and state update properly for: Verify final payable amount updates dynamically upon slot selection","Medium","Ready for Automation"
"TC_SLOT_012","Real-Time Slot Locking and Booking","Verify real-time slot lock countdown timer starts at 10:00","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify real-time slot lock countdown timer starts at 10:00","css=[data-test='tc_slot_12']","Test Param: Verify real-time slot lock countdown timer starts at 10:00","Web app UI and state update properly for: Verify real-time slot lock countdown timer starts at 10:00","Low","Ready for Automation"
"TC_SLOT_013","Real-Time Slot Locking and Booking","Verify slot lock countdown timer decreases second by second","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify slot lock countdown timer decreases second by second","css=[data-test='tc_slot_13']","Test Param: Verify slot lock countdown timer decreases second by second","Web app UI and state update properly for: Verify slot lock countdown timer decreases second by second","High","Ready for Automation"
"TC_SLOT_014","Real-Time Slot Locking and Booking","Verify slot lock timer box displays Slot Reserved For You","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify slot lock timer box displays Slot Reserved For You","css=[data-test='tc_slot_14']","Test Param: Verify slot lock timer box displays Slot Reserved For You","Web app UI and state update properly for: Verify slot lock timer box displays Slot Reserved For You","Medium","Ready for Automation"
"TC_SLOT_015","Real-Time Slot Locking and Booking","Verify slot selection button highlights with selected class","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify slot selection button highlights with selected class","css=[data-test='tc_slot_15']","Test Param: Verify slot selection button highlights with selected class","Web app UI and state update properly for: Verify slot selection button highlights with selected class","Low","Ready for Automation"
"TC_SLOT_016","Real-Time Slot Locking and Booking","Verify selecting a different slot cancels previous slot selection","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify selecting a different slot cancels previous slot selection","css=[data-test='tc_slot_16']","Test Param: Verify selecting a different slot cancels previous slot selection","Web app UI and state update properly for: Verify selecting a different slot cancels previous slot selection","High","Ready for Automation"
"TC_SLOT_017","Real-Time Slot Locking and Booking","Verify slot lock timer resets when selecting a different slot","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify slot lock timer resets when selecting a different slot","css=[data-test='tc_slot_17']","Test Param: Verify slot lock timer resets when selecting a different slot","Web app UI and state update properly for: Verify slot lock timer resets when selecting a different slot","Medium","Ready for Automation"
"TC_SLOT_018","Real-Time Slot Locking and Booking","Verify slot lock expiration toast error when 10-minute timer hits zero","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify slot lock expiration toast error when 10-minute timer hits zero","css=[data-test='tc_slot_18']","Test Param: Verify slot lock expiration toast error when 10-minute timer hits zero","Web app UI and state update properly for: Verify slot lock expiration toast error when 10-minute timer hits zero","Low","Ready for Automation"
"TC_SLOT_019","Real-Time Slot Locking and Booking","Verify payment method dropdown contains UPI / GPay","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify payment method dropdown contains UPI / GPay","css=[data-test='tc_slot_19']","Test Param: Verify payment method dropdown contains UPI / GPay","Web app UI and state update properly for: Verify payment method dropdown contains UPI / GPay","High","Ready for Automation"
"TC_SLOT_020","Real-Time Slot Locking and Booking","Verify payment method dropdown contains Credit/Debit Card","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify payment method dropdown contains Credit/Debit Card","css=[data-test='tc_slot_20']","Test Param: Verify payment method dropdown contains Credit/Debit Card","Web app UI and state update properly for: Verify payment method dropdown contains Credit/Debit Card","Medium","Ready for Automation"
"TC_SLOT_021","Real-Time Slot Locking and Booking","Verify payment method dropdown contains Net Banking","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify payment method dropdown contains Net Banking","css=[data-test='tc_slot_21']","Test Param: Verify payment method dropdown contains Net Banking","Web app UI and state update properly for: Verify payment method dropdown contains Net Banking","Low","Ready for Automation"
"TC_SLOT_022","Real-Time Slot Locking and Booking","Verify payment method dropdown contains Pay at Venue","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify payment method dropdown contains Pay at Venue","css=[data-test='tc_slot_22']","Test Param: Verify payment method dropdown contains Pay at Venue","Web app UI and state update properly for: Verify payment method dropdown contains Pay at Venue","High","Ready for Automation"
"TC_SLOT_023","Real-Time Slot Locking and Booking","Verify selecting Credit/Debit Card in payment dropdown","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify selecting Credit/Debit Card in payment dropdown","css=[data-test='tc_slot_23']","Test Param: Verify selecting Credit/Debit Card in payment dropdown","Web app UI and state update properly for: Verify selecting Credit/Debit Card in payment dropdown","Medium","Ready for Automation"
"TC_SLOT_024","Real-Time Slot Locking and Booking","Verify clicking Confirm Booking without slot selected shows error toast","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify clicking Confirm Booking without slot selected shows error toast","css=[data-test='tc_slot_24']","Test Param: Verify clicking Confirm Booking without slot selected shows error toast","Web app UI and state update properly for: Verify clicking Confirm Booking without slot selected shows error toast","Low","Ready for Automation"
"TC_SLOT_025","Real-Time Slot Locking and Booking","Verify clicking Confirm Booking with valid slot processes booking","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify clicking Confirm Booking with valid slot processes booking","css=[data-test='tc_slot_25']","Test Param: Verify clicking Confirm Booking with valid slot processes booking","Web app UI and state update properly for: Verify clicking Confirm Booking with valid slot processes booking","High","Ready for Automation"
"TC_SLOT_026","Real-Time Slot Locking and Booking","Verify successful booking generates random booking ID SP-XXXX","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify successful booking generates random booking ID SP-XXXX","css=[data-test='tc_slot_26']","Test Param: Verify successful booking generates random booking ID SP-XXXX","Web app UI and state update properly for: Verify successful booking generates random booking ID SP-XXXX","Medium","Ready for Automation"
"TC_SLOT_027","Real-Time Slot Locking and Booking","Verify successful booking adds 50 Reward Points to user account","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify successful booking adds 50 Reward Points to user account","css=[data-test='tc_slot_27']","Test Param: Verify successful booking adds 50 Reward Points to user account","Web app UI and state update properly for: Verify successful booking adds 50 Reward Points to user account","Low","Ready for Automation"
"TC_SLOT_028","Real-Time Slot Locking and Booking","Verify successful booking triggers success toast notification","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify successful booking triggers success toast notification","css=[data-test='tc_slot_28']","Test Param: Verify successful booking triggers success toast notification","Web app UI and state update properly for: Verify successful booking triggers success toast notification","High","Ready for Automation"
"TC_SLOT_029","Real-Time Slot Locking and Booking","Verify booking modal closes after successful booking confirmation","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify booking modal closes after successful booking confirmation","css=[data-test='tc_slot_29']","Test Param: Verify booking modal closes after successful booking confirmation","Web app UI and state update properly for: Verify booking modal closes after successful booking confirmation","Medium","Ready for Automation"
"TC_SLOT_030","Real-Time Slot Locking and Booking","Verify newly created booking prepends to bookings list","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify newly created booking prepends to bookings list","css=[data-test='tc_slot_30']","Test Param: Verify newly created booking prepends to bookings list","Web app UI and state update properly for: Verify newly created booking prepends to bookings list","Low","Ready for Automation"
"TC_SLOT_031","Real-Time Slot Locking and Booking","Verify booking data sent to backend endpoint book_ground.php","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify booking data sent to backend endpoint book_ground.php","css=[data-test='tc_slot_31']","Test Param: Verify booking data sent to backend endpoint book_ground.php","Web app UI and state update properly for: Verify booking data sent to backend endpoint book_ground.php","High","Ready for Automation"
"TC_SLOT_032","Real-Time Slot Locking and Booking","Verify MySQL transaction rollback on double-booking conflict","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify MySQL transaction rollback on double-booking conflict","css=[data-test='tc_slot_32']","Test Param: Verify MySQL transaction rollback on double-booking conflict","Web app UI and state update properly for: Verify MySQL transaction rollback on double-booking conflict","Medium","Ready for Automation"
"TC_SLOT_033","Real-Time Slot Locking and Booking","Verify closing booking modal via Cancel button stops countdown timer","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify closing booking modal via Cancel button stops countdown timer","css=[data-test='tc_slot_33']","Test Param: Verify closing booking modal via Cancel button stops countdown timer","Web app UI and state update properly for: Verify closing booking modal via Cancel button stops countdown timer","Low","Ready for Automation"
"TC_SLOT_034","Real-Time Slot Locking and Booking","Verify closing booking modal via X button stops countdown timer","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify closing booking modal via X button stops countdown timer","css=[data-test='tc_slot_34']","Test Param: Verify closing booking modal via X button stops countdown timer","Web app UI and state update properly for: Verify closing booking modal via X button stops countdown timer","High","Ready for Automation"
"TC_SLOT_035","Real-Time Slot Locking and Booking","Verify date input validation for past date selection","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify date input validation for past date selection","css=[data-test='tc_slot_35']","Test Param: Verify date input validation for past date selection","Web app UI and state update properly for: Verify date input validation for past date selection","Medium","Ready for Automation"
"TC_SLOT_036","Real-Time Slot Locking and Booking","Verify peak hour rates dynamically computed based on time of day","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify peak hour rates dynamically computed based on time of day","css=[data-test='tc_slot_36']","Test Param: Verify peak hour rates dynamically computed based on time of day","Web app UI and state update properly for: Verify peak hour rates dynamically computed based on time of day","Low","Ready for Automation"
"TC_SLOT_037","Real-Time Slot Locking and Booking","Verify booking modal responsive layout on mobile screen","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify booking modal responsive layout on mobile screen","css=[data-test='tc_slot_37']","Test Param: Verify booking modal responsive layout on mobile screen","Web app UI and state update properly for: Verify booking modal responsive layout on mobile screen","High","Ready for Automation"
"TC_SLOT_038","Real-Time Slot Locking and Booking","Verify backdrop click modal behavior","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify backdrop click modal behavior","css=[data-test='tc_slot_38']","Test Param: Verify backdrop click modal behavior","Web app UI and state update properly for: Verify backdrop click modal behavior","Medium","Ready for Automation"
"TC_SLOT_039","Real-Time Slot Locking and Booking","Verify reward points balance updates immediately in top navbar badge","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify reward points balance updates immediately in top navbar badge","css=[data-test='tc_slot_39']","Test Param: Verify reward points balance updates immediately in top navbar badge","Web app UI and state update properly for: Verify reward points balance updates immediately in top navbar badge","Low","Ready for Automation"
"TC_SLOT_040","Real-Time Slot Locking and Booking","Verify reward points balance updates in profile modal","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify reward points balance updates in profile modal","css=[data-test='tc_slot_40']","Test Param: Verify reward points balance updates in profile modal","Web app UI and state update properly for: Verify reward points balance updates in profile modal","High","Ready for Automation"
"TC_SLOT_041","Real-Time Slot Locking and Booking","Verify reward points balance updates in bottom account card","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify reward points balance updates in bottom account card","css=[data-test='tc_slot_41']","Test Param: Verify reward points balance updates in bottom account card","Web app UI and state update properly for: Verify reward points balance updates in bottom account card","Medium","Ready for Automation"
"TC_SLOT_042","Real-Time Slot Locking and Booking","Verify multiple consecutive bookings by same user","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify multiple consecutive bookings by same user","css=[data-test='tc_slot_42']","Test Param: Verify multiple consecutive bookings by same user","Web app UI and state update properly for: Verify multiple consecutive bookings by same user","Low","Ready for Automation"
"TC_SLOT_043","Real-Time Slot Locking and Booking","Verify booking receipt summary base rate vs dynamic adjustment","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify booking receipt summary base rate vs dynamic adjustment","css=[data-test='tc_slot_43']","Test Param: Verify booking receipt summary base rate vs dynamic adjustment","Web app UI and state update properly for: Verify booking receipt summary base rate vs dynamic adjustment","High","Ready for Automation"
"TC_SLOT_044","Real-Time Slot Locking and Booking","Verify slot lock timer cleanup when navigating away","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify slot lock timer cleanup when navigating away","css=[data-test='tc_slot_44']","Test Param: Verify slot lock timer cleanup when navigating away","Web app UI and state update properly for: Verify slot lock timer cleanup when navigating away","Medium","Ready for Automation"
"TC_SLOT_045","Real-Time Slot Locking and Booking","Verify payment method value retained in booking object","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify payment method value retained in booking object","css=[data-test='tc_slot_45']","Test Param: Verify payment method value retained in booking object","Web app UI and state update properly for: Verify payment method value retained in booking object","Low","Ready for Automation"
"TC_SLOT_046","Real-Time Slot Locking and Booking","Verify slot booking status defaults to Upcoming","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify slot booking status defaults to Upcoming","css=[data-test='tc_slot_46']","Test Param: Verify slot booking status defaults to Upcoming","Web app UI and state update properly for: Verify slot booking status defaults to Upcoming","High","Ready for Automation"
"TC_SLOT_047","Real-Time Slot Locking and Booking","Verify currency formatting on payable amount","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify currency formatting on payable amount","css=[data-test='tc_slot_47']","Test Param: Verify currency formatting on payable amount","Web app UI and state update properly for: Verify currency formatting on payable amount","Medium","Ready for Automation"
"TC_SLOT_048","Real-Time Slot Locking and Booking","Verify lock timer format MM:SS","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify lock timer format MM:SS","css=[data-test='tc_slot_48']","Test Param: Verify lock timer format MM:SS","Web app UI and state update properly for: Verify lock timer format MM:SS","Low","Ready for Automation"
"TC_SLOT_049","Real-Time Slot Locking and Booking","Verify double click on Confirm Booking button prevented during processing","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify double click on Confirm Booking button prevented during processing","css=[data-test='tc_slot_49']","Test Param: Verify double click on Confirm Booking button prevented during processing","Web app UI and state update properly for: Verify double click on Confirm Booking button prevented during processing","High","Ready for Automation"
"TC_SLOT_050","Real-Time Slot Locking and Booking","Verify error handling when backend server returns 500 error","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify error handling when backend server returns 500 error","css=[data-test='tc_slot_50']","Test Param: Verify error handling when backend server returns 500 error","Web app UI and state update properly for: Verify error handling when backend server returns 500 error","Medium","Ready for Automation"
"TC_SLOT_051","Real-Time Slot Locking and Booking","Verify booking persistence in localStorage smart_playground_all_bookings","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify booking persistence in localStorage smart_playground_all_bookings","css=[data-test='tc_slot_51']","Test Param: Verify booking persistence in localStorage smart_playground_all_bookings","Web app UI and state update properly for: Verify booking persistence in localStorage smart_playground_all_bookings","Low","Ready for Automation"
"TC_SLOT_052","Real-Time Slot Locking and Booking","Verify booking history synchronization with get_history.php","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify booking history synchronization with get_history.php","css=[data-test='tc_slot_52']","Test Param: Verify booking history synchronization with get_history.php","Web app UI and state update properly for: Verify booking history synchronization with get_history.php","High","Ready for Automation"
"TC_SLOT_053","Real-Time Slot Locking and Booking","Verify slot availability indicator after booking complete","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify slot availability indicator after booking complete","css=[data-test='tc_slot_53']","Test Param: Verify slot availability indicator after booking complete","Web app UI and state update properly for: Verify slot availability indicator after booking complete","Medium","Ready for Automation"
"TC_SLOT_054","Real-Time Slot Locking and Booking","Verify peak hour legend visibility in booking modal","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify peak hour legend visibility in booking modal","css=[data-test='tc_slot_54']","Test Param: Verify peak hour legend visibility in booking modal","Web app UI and state update properly for: Verify peak hour legend visibility in booking modal","Low","Ready for Automation"
"TC_SLOT_055","Real-Time Slot Locking and Booking","Verify date change reloads slot availability","1. Open http://127.0.0.1:8080/ 2. Navigate to Real-Time Slot Locking and Booking 3. Perform test: Verify date change reloads slot availability","css=[data-test='tc_slot_55']","Test Param: Verify date change reloads slot availability","Web app UI and state update properly for: Verify date change reloads slot availability","High","Ready for Automation"
"TC_EQ_001","Equipment Rental Desk and Cart","Verify navigating to Equipment Rental tab via navbar button","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify navigating to Equipment Rental tab via navbar button","css=[data-test='tc_eq_1']","Test Param: Verify navigating to Equipment Rental tab via navbar button","Web app UI and state update properly for: Verify navigating to Equipment Rental tab via navbar button","High","Ready for Automation"
"TC_EQ_002","Equipment Rental Desk and Cart","Verify Equipment tab pane receives active class on click","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify Equipment tab pane receives active class on click","css=[data-test='tc_eq_2']","Test Param: Verify Equipment tab pane receives active class on click","Web app UI and state update properly for: Verify Equipment tab pane receives active class on click","Medium","Ready for Automation"
"TC_EQ_003","Equipment Rental Desk and Cart","Verify equipment grid displays initial gear items","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify equipment grid displays initial gear items","css=[data-test='tc_eq_3']","Test Param: Verify equipment grid displays initial gear items","Web app UI and state update properly for: Verify equipment grid displays initial gear items","Low","Ready for Automation"
"TC_EQ_004","Equipment Rental Desk and Cart","Verify Pro Badminton Racket Set item card details 150/day","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify Pro Badminton Racket Set item card details 150/day","css=[data-test='tc_eq_4']","Test Param: Verify Pro Badminton Racket Set item card details 150/day","Web app UI and state update properly for: Verify Pro Badminton Racket Set item card details 150/day","High","Ready for Automation"
"TC_EQ_005","Equipment Rental Desk and Cart","Verify Official Match Football item card details 100/day","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify Official Match Football item card details 100/day","css=[data-test='tc_eq_5']","Test Param: Verify Official Match Football item card details 100/day","Web app UI and state update properly for: Verify Official Match Football item card details 100/day","Medium","Ready for Automation"
"TC_EQ_006","Equipment Rental Desk and Cart","Verify English Willow Cricket Bat item card details 250/day","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify English Willow Cricket Bat item card details 250/day","css=[data-test='tc_eq_6']","Test Param: Verify English Willow Cricket Bat item card details 250/day","Web app UI and state update properly for: Verify English Willow Cricket Bat item card details 250/day","Low","Ready for Automation"
"TC_EQ_007","Equipment Rental Desk and Cart","Verify Wilson Tennis Racket item card details 200/day","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify Wilson Tennis Racket item card details 200/day","css=[data-test='tc_eq_7']","Test Param: Verify Wilson Tennis Racket item card details 200/day","Web app UI and state update properly for: Verify Wilson Tennis Racket item card details 200/day","High","Ready for Automation"
"TC_EQ_008","Equipment Rental Desk and Cart","Verify Spalding Leather Basketball item card details 120/day","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify Spalding Leather Basketball item card details 120/day","css=[data-test='tc_eq_8']","Test Param: Verify Spalding Leather Basketball item card details 120/day","Web app UI and state update properly for: Verify Spalding Leather Basketball item card details 120/day","Medium","Ready for Automation"
"TC_EQ_009","Equipment Rental Desk and Cart","Verify Cricket Guard Safety Kit item card details 180/day","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify Cricket Guard Safety Kit item card details 180/day","css=[data-test='tc_eq_9']","Test Param: Verify Cricket Guard Safety Kit item card details 180/day","Web app UI and state update properly for: Verify Cricket Guard Safety Kit item card details 180/day","Low","Ready for Automation"
"TC_EQ_010","Equipment Rental Desk and Cart","Verify equipment stock badge rendering In Stock: 12","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify equipment stock badge rendering In Stock: 12","css=[data-test='tc_eq_10']","Test Param: Verify equipment stock badge rendering In Stock: 12","Web app UI and state update properly for: Verify equipment stock badge rendering In Stock: 12","High","Ready for Automation"
"TC_EQ_011","Equipment Rental Desk and Cart","Verify clicking Add to Rental button adds item to cart","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify clicking Add to Rental button adds item to cart","css=[data-test='tc_eq_11']","Test Param: Verify clicking Add to Rental button adds item to cart","Web app UI and state update properly for: Verify clicking Add to Rental button adds item to cart","Medium","Ready for Automation"
"TC_EQ_012","Equipment Rental Desk and Cart","Verify toast notification when item is added to rental cart","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify toast notification when item is added to rental cart","css=[data-test='tc_eq_12']","Test Param: Verify toast notification when item is added to rental cart","Web app UI and state update properly for: Verify toast notification when item is added to rental cart","Low","Ready for Automation"
"TC_EQ_013","Equipment Rental Desk and Cart","Verify rental cart summary pane updates from empty state to item list","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify rental cart summary pane updates from empty state to item list","css=[data-test='tc_eq_13']","Test Param: Verify rental cart summary pane updates from empty state to item list","Web app UI and state update properly for: Verify rental cart summary pane updates from empty state to item list","High","Ready for Automation"
"TC_EQ_014","Equipment Rental Desk and Cart","Verify cart item row displays item name and quantity x1","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify cart item row displays item name and quantity x1","css=[data-test='tc_eq_14']","Test Param: Verify cart item row displays item name and quantity x1","Web app UI and state update properly for: Verify cart item row displays item name and quantity x1","Medium","Ready for Automation"
"TC_EQ_015","Equipment Rental Desk and Cart","Verify adding same equipment twice increments quantity x2","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify adding same equipment twice increments quantity x2","css=[data-test='tc_eq_15']","Test Param: Verify adding same equipment twice increments quantity x2","Web app UI and state update properly for: Verify adding same equipment twice increments quantity x2","Low","Ready for Automation"
"TC_EQ_016","Equipment Rental Desk and Cart","Verify item total price calculation price_per_day * quantity","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify item total price calculation price_per_day * quantity","css=[data-test='tc_eq_16']","Test Param: Verify item total price calculation price_per_day * quantity","Web app UI and state update properly for: Verify item total price calculation price_per_day * quantity","High","Ready for Automation"
"TC_EQ_017","Equipment Rental Desk and Cart","Verify total payable amount calculation across all cart items","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify total payable amount calculation across all cart items","css=[data-test='tc_eq_17']","Test Param: Verify total payable amount calculation across all cart items","Web app UI and state update properly for: Verify total payable amount calculation across all cart items","Medium","Ready for Automation"
"TC_EQ_018","Equipment Rental Desk and Cart","Verify cart duration row defaults to 1 Day","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify cart duration row defaults to 1 Day","css=[data-test='tc_eq_18']","Test Param: Verify cart duration row defaults to 1 Day","Web app UI and state update properly for: Verify cart duration row defaults to 1 Day","Low","Ready for Automation"
